Month,Site,chlA,SST
1,N,0.069600,26.598330
2,N,0.056225,27.710000
3,N,0.056600,25.245000
4,N,0.053600,25.885000
5,N,0.090400,27.545000
6,N,0.046400,27.515000
7,N,0.029140,27.203330
8,N,0.052867,27.055000
9,N,0.049150,29.310000
10,N,0.061200,27.995000
11,N,0.046600,28.325000
12,N,0.068700,26.125000
1,S,0.035343,26.355660
2,S,0.037305,25.977080
3,S,0.033945,25.781620
4,S,0.041612,26.564580
5,S,0.036243,27.345900
6,S,0.028933,28.464160
7,S,0.004710,27.564170
8,S,0.038400,28.856250
9,S,0.034348,28.924950
10,S,0.031772,28.896360
11,S,0.032762,28.045140
12,S,0.039062,26.902250
