denovo0	strigosa.fasta_denovo8
denovo1	strigosa.fasta_denovo9
denovo2	strigosa.fasta_denovo5
denovo3	strigosa.fasta_denovo6
denovo4	strigosa.fasta_denovo7
denovo5	strigosa.fasta_denovo0
denovo6	strigosa.fasta_denovo1
denovo7	siderea.fasta_denovo16
denovo8	strigosa.fasta_denovo3
denovo9	siderea.fasta_denovo8
denovo10	siderea.fasta_denovo7
denovo11	siderea.fasta_denovo4
denovo12	siderea.fasta_denovo5
denovo13	siderea.fasta_denovo2
denovo14	siderea.fasta_denovo3
denovo15	siderea.fasta_denovo0
denovo16	siderea.fasta_denovo1
denovo17	furcata.fasta_denovo22
denovo18	furcata.fasta_denovo23
denovo19	furcata.fasta_denovo20
denovo20	furcata.fasta_denovo21
denovo21	furcata.fasta_denovo26
denovo22	furcata.fasta_denovo27
denovo23	furcata.fasta_denovo24
denovo24	furcata.fasta_denovo25
denovo25	furcata.fasta_denovo28
denovo26	furcata.fasta_denovo29
denovo27	radians.fasta_denovo19
denovo28	radians.fasta_denovo17
denovo29	radians.fasta_denovo16
denovo30	radians.fasta_denovo15	strigosa.fasta_denovo28
denovo31	radians.fasta_denovo14
denovo32	siderea.fasta_denovo21
denovo33	siderea.fasta_denovo20
denovo34	siderea.fasta_denovo23
denovo35	radians.fasta_denovo10
denovo36	strigosa.fasta_denovo29
denovo37	strigosa.fasta_denovo27
denovo38	strigosa.fasta_denovo26
denovo39	strigosa.fasta_denovo25
denovo40	strigosa.fasta_denovo24
denovo41	strigosa.fasta_denovo23
denovo42	strigosa.fasta_denovo22
denovo43	strigosa.fasta_denovo21
denovo44	strigosa.fasta_denovo20
denovo45	furcata.fasta_denovo30
denovo46	furcata.fasta_denovo33
denovo47	furcata.fasta_denovo32
denovo48	cylindrus.fasta_denovo8
denovo49	cylindrus.fasta_denovo9
denovo50	furcata.fasta_denovo37
denovo51	furcata.fasta_denovo36
denovo52	furcata.fasta_denovo39
denovo53	cylindrus.fasta_denovo5	strigosa.fasta_denovo18	siderea.fasta_denovo6
denovo54	cylindrus.fasta_denovo6
