otu	sim	del	ins	mis	len	score	hit
1	denovo445818	72.04	11	16	58	304	329.5	F114_AJ291525
2	denovo180487	70.07	10	13	68	304	351.5	F3.1a_AM748566
3	denovo429547	70.75	14	9	63	294	353.5	F5.1d_JN558069
4	denovo378209	73.36	12	14	55	304	361	F3.1a_AM748566
5	denovo199597	71.09	14	9	62	294	362.5	F5.1d_JN558069
6	denovo373121	73.03	12	14	56	304	364	F3.1a_AM748566
7	denovo142866	73.53	14	19	48	306	365.5	I1_FN561559
8	denovo405964	73.36	12	15	54	304	366	F3.1a_AM748566
9	denovo302511	73.68	12	12	56	304	366	F3.1a_AM748566
10	denovo7028	71.38	11	14	62	304	367.5	F3.1a_AM748566
11	denovo329429	72.7	12	13	58	304	368	F3.1a_AM748566
12	denovo10176	72.7	11	14	58	304	368	F3.1a_AM748566
13	denovo160431	72.7	11	14	58	304	368	F3.1a_AM748566
14	denovo185242	72.7	11	14	58	304	368	F3.1a_AM748566
15	denovo239313	72.7	11	14	58	304	368	F3.1a_AM748566
16	denovo243876	72.7	11	14	58	304	368	F3.1a_AM748566
17	denovo413301	72.7	11	14	58	304	368	F3.1a_AM748566
18	denovo417338	72.7	11	14	58	304	368	F3.1a_AM748566
19	denovo81888	72.7	11	14	58	304	368	F3.1a_AM748566
20	denovo150842	73.03	11	14	57	304	377	F3.1a_AM748566
21	denovo82766	73.03	11	14	57	304	377	F3.1a_AM748566
22	denovo428934	76.8	13	14	44	306	446.5	I1_FN561559
23	denovo99105	76.8	13	14	44	306	446.5	I1_FN561559
24	denovo353943	77.26	12	12	44	299	457	F3.2a_AM748568
25	denovo238509	87.45	3	1	28	255	973.5	A1.1/A13_AF333504;A127_EF656429;A1_AF333505
26	denovo240136	87.45	3	1	28	255	973.5	A1.1/A13_AF333504;A127_EF656429;A1_AF333505
27	denovo392482	97.17	1	3	4	283	1052.5	B19_DQ865212;B33_GU907648
28	denovo34997	95.29	0	3	9	255	1070.5	A4_AF333509
29	denovo356941	95.69	0	3	8	255	1079.5	A4_AF333509
30	denovo262438	98.23	2	2	1	283	1083.5	B19_DQ865212
31	denovo364039	92.16	1	0	19	255	1092.5	A4_AF333509
32	denovo159481	96.47	0	3	6	255	1097.5	A4_AF333509
33	denovo14210	98.95	0	2	1	287	1098	B1.I_Green2014;B1j_GU907637;B125_EU074865
34	denovo240405	98.26	0	2	3	287	1102	B1.I_Green2014;B1d_GU907633;B1l_GU907639;B1e_GU907634;B10_AF499787
35	denovo430267	98.26	0	2	3	287	1102	B1.I_Green2014;B1d_GU907633;B1l_GU907639;B1e_GU907634
36	denovo163768	98.61	0	2	2	287	1111	B1.I_Green2014;B1d_GU907633;B1l_GU907639;B1e_GU907634
37	denovo107705	98.26	0	1	4	287	1114	B1.I_Green2014;B1d_GU907633;B1l_GU907639;B1e_GU907634
38	denovo169816	98.26	0	1	4	287	1114	B1.I_Green2014;B1d_GU907633;B1l_GU907639;B1e_GU907634
39	denovo195409	98.26	0	1	4	287	1114	B1.I_Green2014;B1d_GU907633;B1l_GU907639;B1e_GU907634
40	denovo99981	98.26	0	1	4	287	1114	B1.I_Green2014;B1d_GU907633;B1l_GU907639;B1e_GU907634
41	denovo322783	97.88	1	2	3	283	1115.5	B2_AF333512
42	denovo451482	97.88	1	2	3	283	1115.5	B2_AF333512
43	denovo38350	97.53	1	3	3	283	1116.5	B2_AF333512;B19_DQ865212;B33_GU907648
44	denovo378485	98.59	0	2	2	283	1118.5	B19_DQ865212
45	denovo198601	98.61	1	1	2	287	1120	B1.I_Green2014;B1d_GU907633;B1l_GU907639;B1e_GU907634
46	denovo326520	98.61	1	1	2	287	1120	B1.I_Green2014;B1d_GU907633;B1l_GU907639;B1e_GU907634
47	denovo349024	98.61	1	1	2	287	1120	B1.I_Green2014;B1d_GU907633;B1l_GU907639;B1e_GU907634
48	denovo147790	96.11	2	3	6	283	1121.5	B19_DQ865212;B33_GU907648
49	denovo273917	97.17	2	2	4	283	1122.5	B19_DQ865212
50	denovo113307	98.61	0	1	3	287	1123	B1.I_Green2014;B1d_GU907633;B1l_GU907639;B1e_GU907634
51	denovo191214	98.61	0	1	3	287	1123	B1.I_Green2014;B1d_GU907633;B1l_GU907639;B1e_GU907634
