otu	sim	del	ins	mis	len	score	hit
1	denovo120	72.04	11	16	58	304	329.5	F114_AJ291525
2	denovo98	72.11	13	10	59	294	346	F5.1d_JN558069
3	denovo87	70.07	10	13	68	304	351.5	F3.1a_AM748566
4	denovo170	70.75	14	9	63	294	353.5	F5.1d_JN558069
5	denovo232	73.2	14	19	49	306	356.5	I1_FN561559
6	denovo250	71.05	11	14	63	304	358.5	F3.1a_AM748566
7	denovo105	70.75	13	8	65	294	362	F1_JN558066
8	denovo246	73.03	13	14	55	304	363	F3.1a_AM748566
9	denovo20	73.03	12	14	56	304	364	F3.1a_AM748566
10	denovo18	73.53	14	19	48	306	365.5	I1_FN561559
11	denovo215	71.38	11	14	62	304	367.5	F3.1a_AM748566
12	denovo132	72.7	11	14	58	304	368	F3.1a_AM748566
13	denovo155	72.7	11	14	58	304	368	F3.1a_AM748566
14	denovo200	72.7	11	14	58	304	368	F3.1a_AM748566
15	denovo71	72.7	11	14	58	304	368	F3.1a_AM748566
16	denovo92	72.7	11	14	58	304	368	F3.1a_AM748566
17	denovo248	71.05	11	11	66	304	373.5	F3.1a_AM748566
18	denovo99	68.95	8	13	74	306	410	I4_FN561562
19	denovo99	68.63	7	11	78	306	410	I1_FN561559
20	denovo51	76.8	13	14	44	306	446.5	I1_FN561559
21	denovo270	75.66	10	14	50	304	450.5	F3.1a_AM748566
22	denovo251	77.26	12	12	44	299	457	F3.2a_AM748568
23	denovo179	74.49	14	12	49	294	465	F5.1_AM748592
24	denovo181	77.12	9	10	51	306	470.5	I3_FN561561
25	denovo145	76.59	13	8	38	252	483	A5_AF333508
26	denovo225	87.45	3	1	28	255	973.5	A1.1/A13_AF333504;A127_EF656429;A1_AF333505
27	denovo158	95.29	0	3	9	255	1070.5	A4_AF333509
28	denovo66	96.08	0	3	7	255	1088.5	A4_AF333509
29	denovo41	98.26	2	1	2	287	1107.5	B1.I_Green2014;B1d_GU907633;B1l_GU907639;B1e_GU907634
30	denovo102	92.94	1	0	17	255	1110.5	A4_AF333509
31	denovo168	98.23	2	2	1	283	1111	B19_DQ865212
