otu	sim	del	ins	mis	len	score	hit
1	denovo163	72.04	11	16	58	304	329.5	F114_AJ291525
2	denovo66	70.75	14	9	63	294	353.5	F5.1d_JN558069
3	denovo39	73.53	14	19	48	306	365.5	I1_FN561559
4	denovo30	72.7	11	14	58	304	368	F3.1a_AM748566
5	denovo10	68.95	8	13	74	306	410	I4_FN561562
6	denovo10	68.63	7	11	78	306	410	I1_FN561559
7	denovo7	76.8	13	14	44	306	446.5	I1_FN561559
8	denovo29	75.66	10	14	50	304	450.5	F3.1a_AM748566
9	denovo32	77.26	12	12	44	299	457	F3.2a_AM748568
10	denovo28	74.49	14	12	49	294	465	F5.1_AM748592
11	denovo27	77.12	9	10	51	306	470.5	I3_FN561561
12	denovo160	76.59	13	8	38	252	483	A5_AF333508
13	denovo174	87.45	3	1	28	255	973.5	A1.1/A13_AF333504;A127_EF656429;A1_AF333505
14	denovo57	95.82	0	1	11	287	1051	B1.I_Green2014;B1d_GU907633;B1l_GU907639;B1e_GU907634;B34_GU907649
15	denovo169	95.29	0	3	9	255	1070.5	A4_AF333509
16	denovo0	98.23	1	2	2	283	1106.5	B2_AF333512
17	denovo49	98.26	2	1	2	287	1107.5	B1.I_Green2014;B1d_GU907633;B1l_GU907639;B1e_GU907634
18	denovo37	98.23	0	2	3	283	1126	B2_AF333512
19	denovo38	96.47	2	3	5	283	1130.5	B19_DQ865212;B33_GU907648
20	denovo171	96.47	0	1	8	255	1132.5	A4_AF333509
21	denovo168	94.12	1	0	14	255	1137.5	A4_AF333509
22	denovo161	99.3	0	1	1	287	1141	B1.I_Green2014;B1d_GU907633;B1l_GU907639;B1e_GU907634
23	denovo4	97.88	1	2	3	283	1147	B2_AF333512;B19_DQ865212
24	denovo176	97.25	0	1	6	255	1150.5	A4a_AF499778
25	denovo43	98.59	0	2	2	283	1162.5	B2_AF333512
26	denovo53	99.65	0	1	0	287	1177.5	G3.3_LK392377
27	denovo121	96.47	0	1	8	255	1187.5	A4_AF333509
28	denovo128	96.47	0	1	8	255	1187.5	A4_AF333509
29	denovo134	96.47	0	1	8	255	1187.5	A4_AF333509
30	denovo21	96.47	0	1	8	255	1187.5	A4_AF333509
31	denovo104	95.76	3	2	7	283	1188	C1c/C45_AY239364
32	denovo142	98.59	1	1	2	283	1188.5	B19_DQ865212
33	denovo65	97.56	0	2	5	287	1210.5	B1d_GU907633
34	denovo144	97.91	0	1	5	287	1220.5	B1.I_Green2014;B123_EU074872
35	denovo129	98.04	0	0	5	255	1230	A4_AF333509
36	denovo105	92.93	0	0	20	283	1235	C1c/C45_AY239364;C1227_EU074882
37	denovo1	98.23	2	1	2	283	1238	B19_DQ865212
38	denovo140	98.61	0	1	3	287	1238.5	B1.I_Green2014;B123_EU074872
39	denovo74	97.88	0	1	5	283	1239	B19_DQ865212
40	denovo107	95.05	2	2	10	283	1243	C1114_AB207196
41	denovo75	98.45	0	1	3	258	1247.5	B24_GU907643
42	denovo55	98.23	0	1	4	283	1248	B2_AF333512
43	denovo103	97.17	2	3	3	283	1254	C45a_AY765404
44	denovo99	94.7	1	1	13	283	1254	C45a_AY765404;C44_AY589750
45	denovo139	97.88	2	2	2	283	1256	B19_DQ865212
46	denovo73	99.3	0	1	1	287	1256.5	B1.I_Green2014;B123_EU074872
47	denovo89	99.61	0	0	1	255	1266	A4_AF333509
48	denovo101	95.76	2	2	8	283	1267	C44_AY589750
49	denovo70	96.68	0	1	8	271	1267.5	D1a_JN558078;D120_EU074900
50	denovo59	96.67	0	0	9	270	1269	G3.2_KC597694
51	denovo63	94.43	0	1	15	287	1273.5	B1d_GU907633
52	denovo9	96.68	0	0	9	271	1274	D1a_JN558078
53	denovo175	100	0	0	0	255	1275	A4_AF333509
54	denovo150	94.77	0	1	14	287	1282.5	B1d_GU907633
55	denovo141	97.91	1	1	4	287	1285	B31_GU907645
56	denovo127	95.05	0	0	14	283	1289	C45a_AY765404
57	denovo156	95.05	0	0	14	283	1289	C3.12_FJ461507;C1114_AB207196;C1089_AJ278598;C1190_EU099841
58	denovo87	95.05	0	0	14	283	1289	C1c/C45_AY239364;C1227_EU074882
59	denovo71	98.23	0	2	3	283	1291	B19_DQ865212
60	denovo179	97.42	0	0	7	271	1292	D1_AF334660
61	denovo8	95.41	1	0	12	283	1296	B19_DQ865212
62	denovo138	98.95	0	1	2	287	1297	B1.I_Green2014;B121_EU074870;B7_AF499784
63	denovo100	95.41	0	0	13	283	1298	C45a_AY765404;C44_AY589750
64	denovo50	95.41	0	0	13	283	1298	C45a_AY765404;C44_AY589750
65	denovo51	95.41	0	0	13	283	1298	C1c/C45_AY239364;C1227_EU074882
66	denovo167	94.77	0	0	15	287	1300	B124_EU074874
67	denovo48	97.21	0	2	6	287	1300.5	B1.I_Green2014
68	denovo125	95.76	1	0	11	283	1305	B19_DQ865212
69	denovo42	99.3	0	1	1	287	1306	B1.I_Green2014;B121_EU074870;B7_AF499784
70	denovo26	95.76	0	0	12	283	1307	C1c/C45_AY239364
71	denovo91	96.11	1	1	9	283	1308	B19_DQ865212
72	denovo14	96.11	0	1	10	283	1309.5	C1089_AJ278598
73	denovo149	95.47	1	1	11	287	1310	B1.I_Green2014;B34_GU907649
74	denovo162	95.47	1	1	11	287	1310	B1.I_Green2014;B34_GU907649
75	denovo19	95.47	1	1	11	287	1310	B1.I_Green2014;B16_AY258469;B1d_GU907633;B34_GU907649
76	denovo56	98.52	0	0	4	270	1314	G3.2_KC597694
77	denovo136	98.61	0	2	2	287	1314.5	G3.3_LK392377
78	denovo112	96.11	0	0	11	283	1316	B19_DQ865212
79	denovo52	96.11	0	0	11	283	1316	C1c/C45_AY239364
80	denovo108	96.47	1	1	8	283	1317	C45a_AY765404
81	denovo166	95.82	0	1	11	287	1320.5	B1.I_Green2014;B34_GU907649
82	denovo135	96.47	0	0	10	283	1325	C3_AB778606;C1.v1a_FJ919243;C1190_EU099841
83	denovo155	96.47	0	0	10	283	1325	C1c/C45_AY239364
84	denovo17	96.47	0	0	10	283	1325	C45a_AY765404;C44_AY589750
85	denovo178	96.47	0	0	10	283	1325	C46_EU449108
86	denovo22	96.47	0	0	10	283	1325	C45a_AY765404
87	denovo76	96.47	0	0	10	283	1325	B19_DQ865212
88	denovo93	96.47	0	0	10	283	1325	C7_AF499797;C1190_EU099841;C3.16_EU786015
89	denovo153	95.82	1	0	11	287	1325.5	B1.I_Green2014;B1j_GU907637
90	denovo85	96.82	0	1	8	283	1327.5	B19_DQ865212
91	denovo60	96.17	1	0	10	287	1333.5	B1.I_Green2014;B34_GU907649
92	denovo31	96.82	0	0	9	283	1334	C46_EU449108
93	denovo33	96.82	0	0	9	283	1334	C1065_DQ335388
94	denovo79	96.82	0	0	9	283	1334	B18a_AY258472
95	denovo82	96.82	0	0	9	283	1334	B18a_AY258472
96	denovo83	96.82	0	0	9	283	1334	B18a_AY258472
97	denovo88	96.82	0	0	9	283	1334	B19_DQ865212
98	denovo90	96.82	0	0	9	283	1334	B19_DQ865212
99	denovo98	96.82	0	0	9	283	1334	C1c/C45_AY239364
100	denovo152	96.86	1	1	7	287	1334	B1d_GU907633
101	denovo154	96.17	1	0	10	287	1334	B1.I_Green2014;B34_GU907649
102	denovo41	97.21	0	1	7	287	1334.5	G3.3_LK392377
